m0 p a1 b1 m_100 m_200 m_300 m_400
1.498129870168886768e+01 1.006771742022504412e+02 1.364338986351826932e+00 5.813431727187818865e-01 1.631985809923727970e+01 1.629168810527109912e+01 1.626117801223923820e+01 1.622838230519782243e+01
1.506457830959157107e+01 1.006634896711737213e+02 1.265379422186519776e+00 6.900951513576725205e-01 1.630030167940478236e+01 1.626852656683395182e+01 1.623468688310251906e+01 1.619884065764381020e+01
1.510241924219366538e+01 9.892293146669004500e+01 1.163053773041767158e+00 9.277371177827333781e-01 1.632617046183803566e+01 1.638114289894738107e+01 1.643013315196845170e+01 1.647291203243620572e+01
1.517631399788430890e+01 9.891598519341229689e+01 1.270392940816233107e+00 9.257832206208718162e-01 1.650739284054890632e+01 1.656177019480315238e+01 1.660958128410171497e+01 1.665059951139963701e+01
1.499748108291905524e+01 1.013305320982416333e+02 1.327332180063791611e+00 4.812594813355115519e-01 1.628063863818448453e+01 1.622773503465784728e+01 1.616646234151237138e+01 1.609723738054277575e+01
1.504139529024939748e+01 1.002429154942396963e+02 1.326800995140613892e+00 7.295333850923348962e-01 1.635693516179081186e+01 1.634536906728056138e+01 1.633350068313290393e+01 1.632133276069883010e+01
1.519704806611689030e+01 1.001514693883808604e+02 1.267519828418352645e+00 5.396862900708114807e-01 1.645938226111453417e+01 1.645408263791578563e+01 1.644866950349916834e+01 1.644314334667501853e+01
1.511856186691058035e+01 9.944601794380847082e+01 1.350239538783883475e+00 8.727068549842513789e-01 1.649851431039907723e+01 1.652653678928103531e+01 1.655283451512700310e+01 1.657737527352622919e+01
1.502176830959915677e+01 9.949848802419062110e+01 1.140576563396813015e+00 1.021590997159794512e+00 1.619412106480505287e+01 1.622472151632662474e+01 1.625411553868866932e+01 1.628227365293431106e+01
1.506540849266079363e+01 9.941568553058066016e+01 1.072523785453185496e+00 8.496110754384744723e-01 1.616856946881568646e+01 1.619770236549916831e+01 1.622529124192032057e+01 1.625129847729427368e+01
1.511250456471511683e+01 9.999302755550402821e+01 1.351514102722594757e+00 7.970853536482369606e-01 1.646436775846789757e+01 1.646471659000656373e+01 1.646506516198675030e+01 1.646541347434155256e+01
1.503893027511185032e+01 1.006402106536649228e+02 1.348993814251247869e+00 6.304237174700197954e-01 1.636165551260775786e+01 1.633327405855312264e+01 1.630282506278991050e+01 1.627035716353118744e+01
1.500302334533178161e+01 1.004030682735007076e+02 1.485935684021759684e+00 6.749181209299877082e-01 1.647146411324348136e+01 1.645303496155196044e+01 1.643368329907552194e+01 1.641342143752060068e+01
1.500441772665592666e+01 1.000432344384905150e+02 1.243490068902318058e+00 7.714432920537301897e-01 1.624580849403696803e+01 1.624370003975350230e+01 1.624158244825346387e+01 1.623945573514983565e+01
1.504806223192186110e+01 9.967899730350858079e+01 1.188540669485828261e+00 8.794351337181431916e-01 1.625415300818094266e+01 1.627120933329433328e+01 1.628776489377386127e+01 1.630381291166193947e+01
1.516696183075071858e+01 9.787609899918263068e+01 1.007719221253635666e+00 8.373888163392262385e-01 1.627914880710512691e+01 1.636297322598723980e+01 1.642459844106807410e+01 1.646288062486043913e+01
1.515428606817177837e+01 9.884765038599580578e+01 9.429733339847850004e-01 8.487626540976815903e-01 1.615684573169591687e+01 1.621105541331641575e+01 1.625959772479726340e+01 1.630221233757398736e+01
1.503372349165080912e+01 1.006867071156719931e+02 1.325324730208672364e+00 7.538487139087894917e-01 1.632553687190742409e+01 1.628965364654021641e+01 1.625146443030538990e+01 1.621103934173903838e+01
1.507203316860999465e+01 9.976147044903420635e+01 1.148315667629599801e+00 8.323206812836758672e-01 1.623272281183885468e+01 1.624483483262931216e+01 1.625668216506190333e+01 1.626826213532479315e+01
1.508951511670398027e+01 9.859665869326653365e+01 1.230142721274491535e+00 1.038181484607585858e+00 1.640746237774979122e+01 1.648473347020978608e+01 1.655085354058503810e+01 1.660529413656330178e+01
1.495071468477716792e+01 1.015060453174008330e+02 1.434563920765484113e+00 4.441655955753383012e-01 1.633770269689095045e+01 1.627808169514925041e+01 1.620693337012508906e+01 1.612487559896710820e+01
1.505356502294935694e+01 1.009414431388824767e+02 1.331907456465001971e+00 5.998631081317800096e-01 1.634805378765359407e+01 1.630619100527421139e+01 1.626002785078772561e+01 1.620972280625082007e+01
