weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -1.223511207051784368e+04 1.812919988702724794e+01 8.934412197461057303e+01 7.400983665253967558e+00 -8.033125454517806574e+00 1.807548023877117771e+01 1.064955882350164273e+01 7.231077422352836237e+00 9.651589052126054114e+00
0.000000000000000000e+00 -1.221603225008545451e+04 1.929111845517408952e+01 8.045451758293171451e+01 -9.489270824105703994e+00 -7.247879183284631210e-01 1.814614237177871914e+01 2.867881727163656791e+01 2.126888696957851721e+01 1.007886952065665476e+01
0.000000000000000000e+00 -1.219057838555673516e+04 1.681044143424070114e+01 9.917151148237125824e+01 -4.638581984134608760e+00 -9.210019689589472591e+00 1.169503303086919033e+01 1.123229753504172379e+01 1.078492761557736124e+01 1.035415559935475116e+01
0.000000000000000000e+00 -1.218492686871141450e+04 1.144304637091623000e+01 1.255000243286434767e+02 2.963876301515739442e+00 7.245426765906877620e+00 5.368036792768404730e+00 4.956764895315027175e+00 1.375718756913335739e+01 1.927111057546738593e+01
0.000000000000000000e+00 -1.210311585005680536e+04 1.200399826078415444e+01 1.616819835329621355e+02 9.183170056549244009e+00 9.404165890587620424e+00 -1.121884774450643718e+00 2.212627040298201209e+01 1.024212561233489183e+01 4.473074105223435737e+00
0.000000000000000000e+00 -1.208374238454665101e+04 1.638455331921803548e+01 1.300792108713832533e+02 -9.183626700356482431e+00 4.756556212159576802e+00 1.058088344630693634e+01 2.420298897159271689e+01 2.402734543642898402e+01 1.036392347049577545e+01
0.000000000000000000e+00 -1.207773178282291337e+04 1.933581472774056920e+01 8.948347166001332198e+01 9.830923499560075385e+00 4.134414702320849955e+00 2.938902936216354078e+01 2.437412159728862093e+01 1.673451952782892249e+01 1.045005617312642521e+01
0.000000000000000000e+00 -1.196411002235736669e+04 1.312452685061736801e+01 7.592556762938139059e+01 -4.518605557624375990e+00 -7.845152795444927385e+00 7.814502721917728323e+00 2.198783951959211436e+01 1.118251282474715147e+01 5.850186650324565640e+00
0.000000000000000000e+00 -1.194583882935780275e+04 1.123684452502511633e+01 1.681933133589754448e+02 -8.276501475350258374e+00 -2.171987545387777274e+00 1.931098775830867709e+01 6.132026393182719914e+00 1.162294295270049993e+01 1.570177972300263036e+01
0.000000000000000000e+00 -1.180501954736134576e+04 1.202798367865639761e+01 1.158294901928711624e+02 -9.795159179310378050e+00 2.079706219833724390e+00 4.053120091949333315e+00 1.140090873979615438e+01 1.918333207850400157e+01 2.200628016625816485e+01
0.000000000000000000e+00 -1.175080176126730657e+04 1.666632298614091212e+01 1.194412869948581601e+02 -8.372104019993027890e+00 8.202607693955318524e+00 5.302867582216830300e+00 1.319636480644546772e+01 2.441367227325114797e+01 2.820993384273161553e+01
0.000000000000000000e+00 -1.168657922961276563e+04 1.253901657866122576e+01 1.900673982497501981e+02 9.285887222531322038e+00 -7.547332581435426846e+00 4.611510384046097144e+00 1.889494948579307021e+01 7.925585327261520874e+00 1.528587842733522706e+01
0.000000000000000000e+00 -1.165270056812920666e+04 1.053220515281507197e+01 1.806870700250560446e+02 7.115796129529719849e+00 4.998918132552255145e+00 2.166599043252524837e+00 1.921317418708655822e+01 2.505546621580696964e+00 1.700796692887828598e+01
0.000000000000000000e+00 -1.160521628468425115e+04 1.973772295552449663e+01 1.990465950661838122e+02 8.012291737423925753e+00 -6.387104238838487547e+00 1.182244646606200078e+01 2.755419192913336346e+01 1.202183139252788990e+01 2.735128998704372449e+01
0.000000000000000000e+00 -1.158774360701291153e+04 1.460144720114494810e+01 1.753595647426271000e+02 5.886724891713349450e+00 -8.716850401008080951e+00 1.300321206643468663e+01 1.160477455779285982e+01 2.161849732898976839e+01 4.909347674238102144e+00
0.000000000000000000e+00 -1.156844241925513415e+04 1.200285116391432183e+01 1.251358598445793575e+02 7.535185163941562791e+00 -1.208256327384738427e+00 1.544334824935941519e+01 6.558264797980622340e+00 5.253981645769304265e+00 1.334652473959038943e+01
0.000000000000000000e+00 -1.156122051430572901e+04 1.866509760544155938e+01 1.476217165451022595e+02 -6.124074022693644537e+00 -9.101244847129450477e+00 2.953335756220926100e+01 1.521503366850280159e+01 1.083609031958879854e+01 2.901194135256935880e+01
0.000000000000000000e+00 -1.143775103024177042e+04 1.382249907984615866e+01 1.634997327381057062e+02 9.081261384149705407e+00 -5.430419798482710725e+00 1.038855204227888152e+01 9.988157518541495250e+00 2.311515113687718070e+01 3.458077599255027224e+00
0.000000000000000000e+00 -1.142193676357790719e+04 1.201495960915241668e+01 9.084545990225780088e+01 4.016400250619769352e+00 9.145523308274249530e+00 2.066418785976387085e+01 2.194391829357718748e+01 1.937443048100225695e+01 1.395185298762073955e+01
0.000000000000000000e+00 -1.136810846479155953e+04 1.833976283229455362e+01 1.497760285664040225e+02 9.860677626153542263e-01 8.614025693455054977e+00 1.036529074580756671e+01 2.524149427250505440e+01 1.948751696657250676e+01 1.030275195951336187e+01
0.000000000000000000e+00 -1.135725244391421620e+04 1.980711875819066137e+01 9.336533098704367717e+01 -5.605337041889056238e+00 5.021796709448205220e+00 1.691971839048760984e+01 2.020377319803913707e+01 2.341005795555191327e+01 2.590993246395116145e+01
0.000000000000000000e+00 -1.127547645861897763e+04 1.007698219887124402e+01 9.878759088484500239e+01 5.208660894945698061e+00 -4.486368315682527808e+00 1.492455059017215113e+01 1.453464683919609612e+01 1.411824921168130587e+01 1.367783254327031450e+01
0.000000000000000000e+00 -1.125636059946475325e+04 1.002711798582568470e+01 1.814375687693398902e+02 8.680802246885264140e-01 -9.256950366882257697e+00 1.212779263342335057e+01 5.172833792824961030e+00 1.713784927183297668e+01 1.388201172045476994e+00
0.000000000000000000e+00 -1.120225726814727022e+04 1.503109502520573315e+01 1.482610813502004703e+02 -9.371257045244217210e+00 5.810120673614964204e+00 1.414420211580464048e+01 2.521273552718802691e+01 6.614685430099683572e+00 1.253980702092392541e+01
0.000000000000000000e+00 -1.115545197830285178e+04 1.840542537575744220e+01 1.678834259505207172e+02 -9.508957402159424532e+00 3.293970902926300681e+00 2.438553587752650387e+01 1.804991455640367093e+01 1.301174637535980416e+01 2.765805859455953453e+01
0.000000000000000000e+00 -1.109044658570397951e+04 1.918228045563807171e+01 1.514337784455462383e+02 4.642928189304740272e+00 5.974421184702320531e+00 1.165172513128428555e+01 2.258114216058125479e+01 2.308323204779912174e+01 1.161763923768359774e+01
0.000000000000000000e+00 -1.105977303609710725e+04 1.732329919054947709e+01 8.959583867834031423e+01 9.411363892861018599e+00 4.316229804674296844e+00 2.721591906015926199e+01 2.266034955902684089e+01 1.538742190333082505e+01 9.100145790990740835e+00
0.000000000000000000e+00 -1.103933146688444504e+04 1.228350246885501917e+01 6.886926568805654369e+01 -9.264224489538259277e+00 -6.324082770393177455e+00 1.925253093171571095e+01 8.238080955694915275e+00 1.304053346446861283e+01 1.488312495588354523e+01
0.000000000000000000e+00 -1.103247270837575343e+04 1.527749169407940855e+01 1.857764415971510346e+02 -4.010634730277811144e-01 9.460523185236667132e+00 1.341335707857404991e+01 1.929949531165662080e+01 9.329189246685073655e+00 2.280961455671500460e+01
0.000000000000000000e+00 -1.093927485704678656e+04 1.380700350279230548e+01 1.430024444083050525e+02 -3.208106194938347144e+00 -8.696477858837106112e+00 2.307073777024822903e+01 1.121111874387027818e+01 6.169664296232838296e+00 2.118789681082158438e+01
0.000000000000000000e+00 -1.089621780719878188e+04 1.667417698834092832e+01 1.715449091032638762e+02 -6.740413938921243187e+00 6.788259480807006696e+00 1.914039914597817216e+01 1.913685189550576027e+01 9.936368615210923849e+00 2.589844024973380598e+01
0.000000000000000000e+00 -1.089256813693388176e+04 1.989249234377953002e+01 1.521162412069240872e+02 -7.247081101814085713e+00 2.736381103753110722e+00 2.158934714041091496e+01 2.527442507069583755e+01 1.227992625626758461e+01 2.287813785344068407e+01
0.000000000000000000e+00 -1.088461851236053917e+04 1.797498281388332941e+01 1.150071231229120485e+02 2.371987865294498121e+00 -8.753462359414633909e+00 2.599277043519123964e+01 2.654416079461469025e+01 2.165079470899667768e+01 1.442186031663078083e+01
0.000000000000000000e+00 -1.087631324994103124e+04 1.323590969302520470e+01 1.074327503606716903e+02 -6.767099120585855943e+00 -7.037644623113445519e+00 1.006202529945048063e+01 1.424561346272190931e+01 1.824138688222776494e+01 2.130609275110245449e+01
