A w B x0 f sigma_v
4.527800098621062830e+01 5.457260986854687523e+00 6.101359617394258805e+01 4.379979707937629030e-01 2.470938683448153128e+01 5.457260986854687701e+01
5.430400252300189123e+01 5.369193181418521199e+00 5.877551848734483286e+01 9.420443291375093509e-01 2.915686800702359349e+01 5.369193181418521021e+01
6.467140407126282753e+01 4.964931184415921628e+00 5.901269590838177237e+01 5.358862495822069860e-01 3.210890708133756277e+01 4.964931184415921450e+01
5.128289146606552862e+01 4.981288147103997588e+00 6.062904883890078622e+01 7.278660971017973935e-01 2.554548594091329861e+01 4.981288147103997233e+01
5.310048427316475994e+01 4.916162863610775702e+00 6.017486223813677526e+01 4.464929977035936304e-01 2.610506288234806149e+01 4.916162863610775702e+01
5.693263179494236681e+01 4.601312831766771083e+00 5.905877215040514727e+01 -3.899356108902551910e-02 2.619648492243211280e+01 4.601312831766770728e+01
4.690268496158091693e+01 5.190998971472210677e+00 5.805289723946267344e+01 4.585095612241634200e-01 2.434717893948516831e+01 5.190998971472210854e+01
5.398794145948239276e+01 5.333349537297715770e+00 5.752022370000071305e+01 6.220097993266193726e-01 2.879365626025866121e+01 5.333349537297715415e+01
5.207767180435741494e+01 4.850538581643771607e+00 6.151419953924450823e+01 1.110987125558331456e-01 2.526047563292176434e+01 4.850538581643771607e+01
4.830014711965029051e+01 5.027377422013172392e+00 6.183756460472253025e+01 2.347176105684312120e-02 2.428230691092444360e+01 5.027377422013172747e+01
5.606066498076837945e+01 5.079678852429100111e+00 5.814798427823730975e+01 4.049285359653715943e-01 2.847701743559217746e+01 5.079678852429100289e+01
5.021941589315369470e+01 4.925352361744483431e+00 6.035421521452243354e+01 6.679037364797864029e-01 2.473483186747730045e+01 4.925352361744483431e+01
4.855822190051785014e+01 4.797800560089262589e+00 6.055304013111306460e+01 2.367278647236474853e-01 2.329726642312432361e+01 4.797800560089262945e+01
5.494155131420026805e+01 5.276976969824204389e+00 5.972211296705170014e+01 7.607000902887524063e-01 2.899253009714495732e+01 5.276976969824204389e+01
5.719055526319961302e+01 4.759235249848416949e+00 5.966452088203584481e+01 -2.001952043358041777e-01 2.721833065670235285e+01 4.759235249848416771e+01
5.270340834930424734e+01 5.571461887701610216e+00 5.934519295579080733e+01 3.139771757540366082e-01 2.936350309701234806e+01 5.571461887701610038e+01
5.059549921004935413e+01 4.577511806629522617e+00 5.948822208082946617e+01 7.788533247019060468e-01 2.316014949963156155e+01 4.577511806629522795e+01
6.032827251879674435e+01 4.284435744783689159e+00 6.031015360429318406e+01 4.187388449122071421e-01 2.584726072005843278e+01 4.284435744783689159e+01
5.332597431863534609e+01 4.944823396337671539e+00 5.900424374589017162e+01 -3.487827952665618625e-01 2.636875254432898785e+01 4.944823396337671539e+01
5.498755354130693007e+01 5.279713000157177483e+00 5.806842411764294809e+01 6.574875223192915286e-01 2.903185012788770081e+01 5.279713000157177305e+01
4.911623279857812463e+01 5.632614191483077626e+00 5.972130347596570488e+01 1.130329748736505380e+00 2.766527898934577223e+01 5.632614191483077803e+01
5.438206459993046593e+01 4.215930216382762552e+00 6.026309370633688189e+01 9.290693356322776708e-01 2.292709893761261952e+01 4.215930216382762552e+01
5.563192541534355229e+01 4.795556203426420083e+00 5.844911070615956561e+01 4.618544154708494887e-01 2.667860250341066575e+01 4.795556203426420439e+01
6.343111389367723518e+01 4.778451649639364973e+00 5.918109414391571477e+01 1.181970358586781344e-01 3.031025108237044563e+01 4.778451649639364973e+01
4.698945660411762759e+01 4.811359888970615728e+00 5.956248057597663603e+01 2.942231636904875103e-01 2.260831867095769354e+01 4.811359888970615373e+01
5.156425005557569818e+01 5.602872476578753869e+00 5.986794710040111056e+01 1.144755306873053158e+00 2.889079174118095494e+01 5.602872476578753691e+01
5.456382163947385067e+01 4.555514884481923765e+00 5.864430783725056529e+01 -2.447250186616187762e-01 2.485663016328400232e+01 4.555514884481923588e+01
4.823101323761333248e+01 4.776746488635845722e+00 5.952631867976929669e+01 5.309871718934626728e-01 2.303873231261184884e+01 4.776746488635845367e+01
5.071091120798866569e+01 5.823946724539204922e+00 5.760582026815836798e+01 9.322134595662863177e-01 2.953376452281640496e+01 5.823946724539204922e+01
5.597234295370321178e+01 4.499748809640017555e+00 6.083166741341641170e+01 5.284885138184787223e-01 2.518614835786888406e+01 4.499748809640017555e+01
