A w B x0 k b f sigma_v
5.657654565318881623e+01 4.226520879715264911e+00 4.579860882546496725e+01 -3.492795096405156841e-01 6.324837306552075766e-01 1.429761959118044778e+01 2.391219515053664324e+01 4.226520879715265266e+01
5.425158660585218939e+01 4.855637809191736487e+00 5.245879960381994067e+01 -4.589096078308223525e-01 6.671520819764888977e-01 7.442401986869320751e+00 2.634260551320159038e+01 4.855637809191736665e+01
5.850868712428906804e+01 4.661235212046767273e+00 4.887755529789989595e+01 -6.778203236930853137e-01 7.239534022410587522e-01 1.207356467443996273e+01 2.727227526343635233e+01 4.661235212046767629e+01
5.930881086602912688e+01 4.157618561521150724e+00 4.800746860611748446e+01 2.037010937614880390e-02 5.743410836246751749e-01 1.205111569589311138e+01 2.465834129183500067e+01 4.157618561521150724e+01
5.270179953685033780e+01 4.636017933905831612e+00 5.837840010952079695e+01 -9.423499015061178596e-01 6.950286084303942680e-01 1.111228932952228465e+00 2.443264878019482111e+01 4.636017933905831967e+01
4.931026160288163851e+01 5.551386162324270401e+00 4.055379018618943832e+01 -7.149898475344791393e-01 6.737747760887651260e-01 1.637901511263824617e+01 2.737403039228269108e+01 5.551386162324270401e+01
5.170596393801110935e+01 4.867331116822187553e+00 5.080418362278506805e+01 -1.127683402014199032e-01 5.301978516675427411e-01 8.193235720220330975e+00 2.516700472007673639e+01 4.867331116822187198e+01
5.310099907677493292e+01 5.484157167829413204e+00 4.773320887083393416e+01 -7.970142427634918647e-02 6.365668185237445265e-01 9.374755267265156178e+00 2.912142247057983013e+01 5.484157167829413027e+01
5.333598582347700301e+01 4.929318340409658106e+00 3.916350276149472620e+01 -4.971661162653067123e-01 5.277526144257920215e-01 1.924116303975292297e+01 2.629100531234947269e+01 4.929318340409658106e+01
4.900043333752493879e+01 4.639906875249195650e+00 5.531839640119501667e+01 -6.888522013263571608e-01 6.238735427106953946e-01 6.894693710281813992e+00 2.273574475329718680e+01 4.639906875249195650e+01
5.730395061617185348e+01 4.373342023291730385e+00 4.724146332790748204e+01 1.651632627231762740e-01 6.653510860544036287e-01 1.513471324648458349e+01 2.506097753303384223e+01 4.373342023291730385e+01
