C sigma mu1 mu2 a1 a2 W lam0
1.953574796006736847e+02 6.822328075788587354e-01 1.215519345966677975e+03 1.211194301539066146e+03 3.144934981849331024e+01 2.336230871618289200e+02 1.356858398880613548e+00 1.211707443670077964e+03
2.087669739126565673e+02 8.376645800030326772e-01 1.215759421258573866e+03 1.216802098765027949e+03 6.552247454101122059e+01 3.202897571671593937e+02 1.848052038487590476e+00 1.216625020889428697e+03
1.931790877093428378e+02 5.757216672004297209e-01 1.215781195992384710e+03 1.218450396806790877e+03 3.832346526933248043e+01 2.165860447614022632e+02 1.319550232136262435e+00 1.218049105286927897e+03
1.996334847909475343e+02 6.831713971728935464e-01 1.215677127654163769e+03 1.213062749336499337e+03 1.476615165672345711e+02 2.272164230820013699e+02 1.877830966292058257e+00 1.214092532704461973e+03
1.964050743138095072e+02 6.031566511797479269e-01 1.215816335128791025e+03 1.215189449889909156e+03 1.561577760302037916e+02 2.329217624525666679e+02 1.981005530748722210e+00 1.215441051413627747e+03
2.165076672335446801e+02 7.970197402006360399e-01 1.215892687418902597e+03 1.214278522751187211e+03 3.651496350646199289e+02 3.263935289031003322e+02 3.194081636017811476e+00 1.215130836344989120e+03
1.923597694706753032e+02 7.168372692602934526e-01 1.215720421853030530e+03 1.219718284235469810e+03 2.621321600089566459e+02 2.678012965599017434e+02 2.754907941650685199e+00 1.217740737264737390e+03
2.004256679837574211e+02 7.229736427855222303e-01 1.215690249938086936e+03 1.217139664513190155e+03 3.263854878575277212e+02 2.545276368143008767e+02 2.898396849643559925e+00 1.216325312309544870e+03
1.918151771145889199e+02 7.250675636976204874e-01 1.215667626816634538e+03 1.216107768947765180e+03 1.080531069701572164e+02 2.536532916340705412e+02 1.885702706351265912e+00 1.215976284614171618e+03
1.979714063144874672e+02 6.887110858471841013e-01 1.215782339249551342e+03 1.212638999046698473e+03 3.770019848984672990e+02 2.597695151648479168e+02 3.216482177490682215e+00 1.214500020614982986e+03
1.895682270763193742e+02 5.930558869221248530e-01 1.215677842982147467e+03 1.210856933447391839e+03 3.428512587689597808e+02 2.006805349481531664e+02 2.867209353064684496e+00 1.213897886932557412e+03
1.970272995455158593e+02 6.909705591923457346e-01 1.215765313874973572e+03 1.219345708807864412e+03 2.455753118986088168e+02 2.577749622998462655e+02 2.554723509683868077e+00 1.217598900178893246e+03
2.021606725527342974e+02 7.189929294397755521e-01 1.215623114625869221e+03 1.210578880609693670e+03 1.225675026947909743e+02 2.603136165575880909e+02 1.893944625419185845e+00 1.212193635517373423e+03
1.891678186871439777e+02 5.816542565205705673e-01 1.215760154395402878e+03 1.213421764703891995e+03 2.662427699932924270e+02 1.870782395476854845e+02 2.396396029129589156e+00 1.214795138837647528e+03
1.918313747407383971e+02 5.548708311053782705e-01 1.215576028188032296e+03 1.219170342329541654e+03 3.091373344637194123e+02 2.000711809521043563e+02 2.654458980466688711e+00 1.216988256485937654e+03
1.941714099300894532e+02 6.482172685141130986e-01 1.215752147316004766e+03 1.211194111057453256e+03 1.667861315526291577e+01 2.289410580035367389e+02 1.264963112989877958e+00 1.211503620972295948e+03
1.949628399043832587e+02 4.964227656371930086e-01 1.215633168870404461e+03 1.212302594411328073e+03 2.565183321338155906e+02 1.912413327131843630e+02 2.296641067941958880e+00 1.214210656866175668e+03
2.021518539918352531e+02 7.265747951391978710e-01 1.215555802444585197e+03 1.218549192625176602e+03 2.606812379324970834e+02 2.421194356025486343e+02 2.487242454651706680e+00 1.216997244310538463e+03
2.054371470681297751e+02 6.886350047062874680e-01 1.215599899078816861e+03 1.211156008949340503e+03 3.967456259507391678e+02 2.651447472611051239e+02 3.221863147234708347e+00 1.213819734004775455e+03
2.046523165396355353e+02 6.988187610350902190e-01 1.215780319207667844e+03 1.216133299794012601e+03 1.159943919005203270e+02 2.770862991755832354e+02 1.920724366684481765e+00 1.216029138563518927e+03
1.984355536479406794e+02 7.235214486338406026e-01 1.215665256865720721e+03 1.217955773835060199e+03 2.290504995123441176e+02 2.512992647800627140e+02 2.420683972513469673e+00 1.216863561253793478e+03
1.989374930521077829e+02 7.071860049523586156e-01 1.215745469972233650e+03 1.211642876996065979e+03 3.303938864940978988e+02 2.239344135989007043e+02 2.786444584117701240e+00 1.214088127649644548e+03
2.041071008134047133e+02 7.630117214188884001e-01 1.215709792277965335e+03 1.211507820164283885e+03 3.602690123237617286e+02 2.863393663715426101e+02 3.167985710043647707e+00 1.213849021412344882e+03
2.087246534441512154e+02 7.193811719630734958e-01 1.215744352635787209e+03 1.212855941150824719e+03 3.928681902553061036e+02 2.830118268049657217e+02 3.238141761922331163e+00 1.214534885584994527e+03
