m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
1.690674422171307256e+01 -7.617715267483005093e+00 7.012334549433166586e+00 -9.003239731888745823e+00 8.348156765373715871e+00 -7.871540952324469487e+00 1.488031520947878938e+01 1.512387054287221133e+01 1.588422023604658051e+01 1.295550484196532537e+01
1.169465338682032751e+01 -4.483475654317103043e+00 8.981874748823308607e+00 -6.737763559795919122e+00 9.485559706565627636e+00 -3.728146083039966641e+00 1.511281745992970116e+01 1.504663287679413131e+01 1.599807566082857235e+01 1.290620852756734571e+01
1.354733767824155422e+01 -4.237441407880622180e+00 7.072914858287465023e+00 -7.105864629514900166e+00 9.718293031880769206e+00 -6.202313982668711922e+00 1.498651609782864114e+01 1.521298819502142052e+01 1.610395357062466815e+01 1.235494366064947513e+01
1.148018702802004398e+01 -3.180068624978446223e+00 7.826769731893239879e+00 -5.742289365307143179e+00 9.754009977960901523e+00 -4.459157944376309857e+00 1.516579801476561151e+01 1.536732268692093051e+01 1.607061716636223281e+01 1.224588159641891494e+01
1.237478023958739826e+01 -3.592319457209881328e+00 7.164300627283285650e+00 -5.783363348417170258e+00 8.536582297492387283e+00 -4.002630500705173233e+00 1.496327736424490418e+01 1.508661906588290336e+01 1.590553282199905816e+01 1.284553861659522411e+01
1.404646245657043124e+01 -5.978206666337425368e+00 8.751561626798004312e+00 -8.408003927062189575e+00 9.890607219573965381e+00 -6.530227939933464398e+00 1.533835013125336566e+01 1.525267295808621526e+01 1.599455724127937906e+01 1.247250704845806446e+01
1.439791845285188465e+01 -6.156097803812299318e+00 8.359297079327021152e+00 -8.308877083808026143e+00 9.326621377345194475e+00 -6.448122212929027874e+00 1.517435354926594115e+01 1.511029747225082609e+01 1.583688708006636681e+01 1.257299208486811892e+01
1.053000107843070232e+01 -1.878548672947328413e+00 7.400541851140395977e+00 -4.872629017924604788e+00 9.712790449120213054e+00 -3.511651448320255220e+00 1.511121899355597975e+01 1.530764853035091022e+01 1.613815400196747518e+01 1.233159861154909720e+01
1.129667067761401889e+01 -3.499164042141709174e+00 8.156446596644478575e+00 -5.806059742339338747e+00 9.244030838918845916e+00 -3.563596801301056161e+00 1.502066930078724027e+01 1.508869325440191034e+01 1.592270036096815566e+01 1.264353335796959144e+01
1.169305205898625921e+01 -2.678797339011930845e+00 7.270824709526308993e+00 -5.669976348498440899e+00 9.189076233204659161e+00 -4.107976418781746020e+00 1.509806029492357915e+01 1.508802033931321240e+01 1.590574052067526623e+01 1.247105718514421469e+01
1.458224890515836059e+01 -5.994095440541197028e+00 7.994251271456668917e+00 -8.372551814509680668e+00 9.405000289503490762e+00 -6.303016232877009628e+00 1.506549633165919033e+01 1.509864352710960311e+01 1.610138309981113025e+01 1.293734934593359753e+01
1.551349524504036026e+01 -8.529621514462558451e+00 9.373294971931308339e+00 -9.518278692121475260e+00 9.208594414900971969e+00 -7.021122956917873026e+00 1.510843550097322030e+01 1.516113777384699013e+01 1.586421746050723947e+01 1.289077472304202310e+01
1.357102123359676504e+01 -4.750183927210614776e+00 7.493953493002670996e+00 -7.369392342332842460e+00 9.774309180052604518e+00 -6.380782154262160333e+00 1.496600495085733229e+01 1.516894719510993461e+01 1.596685454679989746e+01 1.220297526884409223e+01
1.179666947516518505e+01 -4.931292110230830694e+00 9.330893602529258146e+00 -6.966273051272543704e+00 9.736983442196894600e+00 -4.242327319881966652e+00 1.518195444382302384e+01 1.515413408327056644e+01 1.594331056135784408e+01 1.261934121011129051e+01
1.220871481220942556e+01 -2.551489273395342927e+00 6.778343379540856972e+00 -6.123908613429120962e+00 9.863483058841179485e+00 -5.263177712663107854e+00 1.500157203866272937e+01 1.512098399731727838e+01 1.605458542512084819e+01 1.217370574341769895e+01
1.259842879129867121e+01 -4.621458934752881831e+00 8.222854902111428999e+00 -6.760756699760440469e+00 9.387310389717164583e+00 -4.865982294457923629e+00 1.513399906557537200e+01 1.523479171769358587e+01 1.599526813442899176e+01 1.260096647747027987e+01
1.116160963453610222e+01 -4.579099840626232876e+00 8.940696858471138597e+00 -5.851494290615740113e+00 9.373913927739394580e+00 -3.357131329007621012e+00 1.500715828952419351e+01 1.534443621328711771e+01 1.610933232755478173e+01 1.279591692061606167e+01
1.207399241998023953e+01 -5.045539911804891808e+00 8.910948151296523179e+00 -6.908432962604239336e+00 9.504364441837907407e+00 -4.164020499324427860e+00 1.497450728198242587e+01 1.508863268657930945e+01 1.601248916546580148e+01 1.283700472608506438e+01
1.009152038260936735e+01 -2.265059026129899955e+00 8.369432008220520913e+00 -4.988477930488302903e+00 9.398631164465914622e+00 -2.679522032339718862e+00 1.530365944498032604e+01 1.521074125203193894e+01 1.594679138942665730e+01 1.252965538575976723e+01
1.206275655780218159e+01 -5.572085334617994157e+00 9.636941473753818599e+00 -7.181574685123777613e+00 9.594292171589998475e+00 -4.337633660593466445e+00 1.521447169720863712e+01 1.520438007566439786e+01 1.591261361928909679e+01 1.267762233650476489e+01
1.505450560559038387e+01 -6.496547955454011536e+00 8.059389309647883692e+00 -8.415120793567721691e+00 8.787975839132858624e+00 -6.300722017296195965e+00 1.518883913166484056e+01 1.512590615371472680e+01 1.593542120261019690e+01 1.303244999436612162e+01
1.077428926903788664e+01 -4.346296768593314930e+00 9.406150846204575089e+00 -6.092922135917274495e+00 9.806556678875015365e+00 -3.509462347754533695e+00 1.513692030684421042e+01 1.527130191812347348e+01 1.598140644539800981e+01 1.249125174728079024e+01
1.608698421287794389e+01 -8.465059926556650183e+00 9.067006607417059882e+00 -9.992536134256088332e+00 9.638464801242619728e+00 -8.065120464741797335e+00 1.517372187333991818e+01 1.520277334714333684e+01 1.590597423016908252e+01 1.261343108843489524e+01
1.273451830685942276e+01 -4.505082846295208832e+00 7.859188789844868239e+00 -6.778114506304802944e+00 9.740130531943819392e+00 -5.492541684835357430e+00 1.500726866050317554e+01 1.527789921167854637e+01 1.604569823522377092e+01 1.231814278685940245e+01
1.176361366452229795e+01 -5.190211396975460190e+00 9.464367342235917135e+00 -6.951894588460414859e+00 9.965018344957183416e+00 -4.566544812657672203e+00 1.516131030276835823e+01 1.527580382962503336e+01 1.596555015513443720e+01 1.240371988160658745e+01
