weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.505098004587446485e+04 1.277103573881239740e+01 -6.196383632559053112e+00 8.555092189174466455e+00 1.507639380973699872e+00 -9.744234968106489703e+00 -8.668431058059951511e+00 1.706722441390020251e+01 1.154568965917325940e+01 -2.274687090484128760e-01 -1.510575945828335875e+00
0.000000000000000000e+00 -2.503661952068166283e+04 1.147831430915759832e+01 7.998247105981967309e+00 9.480005183926966339e+00 8.912539033627627560e+00 3.998063779555874220e+00 -1.645252102275014394e+00 3.173803176069675658e+01 2.942549978108630881e+01 2.125604211157144618e+01 1.357218792090670334e+01
0.000000000000000000e+00 -2.482398707296050998e+04 1.063158223092120025e+01 8.354722879949591174e+00 -8.698300330209267628e-01 -6.212065163234252729e+00 -9.515370941916103220e+00 9.102861646444630139e+00 9.874698033350794546e+00 4.832014156167758756e-01 2.844661880726381931e+00 1.311550782267144832e+01
0.000000000000000000e+00 -2.478263421689872121e+04 1.110014338388790023e+01 -4.445368680588314803e+00 -5.324330731672528572e-01 9.524360887588876778e+00 8.935072887654371243e+00 7.668180996834468743e+00 1.494269122084695489e+01 2.615712315912290364e+01 3.034157947679314660e+01 2.546929605999514834e+01
0.000000000000000000e+00 -2.399477039329810577e+04 1.595655369736369167e+01 -9.373106029465713362e+00 2.463452586898204899e+00 -8.043719803258291279e+00 -3.319059153692258235e+00 -9.320321299717107877e+00 7.303442194141892330e+00 4.864001996435348474e+00 2.334937489360402907e+00 3.558744321162174984e+00
0.000000000000000000e+00 -2.398266269333392120e+04 1.517111049420431357e+01 -6.065479307527350983e+00 -3.528418315433265562e+00 -9.820376995178197177e+00 -6.327773165445460535e-01 -2.923645928050763843e+00 1.889317405536932171e+00 1.610294957362938817e+00 6.263791665914267170e+00 1.049339029228622877e+01
0.000000000000000000e+00 -2.397047649528626789e+04 1.278301222269525184e+01 -1.621540481010583790e+00 -8.431048275006471471e+00 -5.862504794659420426e+00 1.205867847108358148e+00 -2.768687017675491191e+00 -5.489983854306323963e-02 1.944061294552135166e+00 7.594765611892113633e+00 9.858112826659603201e+00
0.000000000000000000e+00 -2.380947260488558095e+04 1.758806601365579070e+01 -5.481286636365238607e+00 -8.998113628786445162e+00 -8.462663792982670685e+00 -7.775229543903368068e-01 -4.488265866759855172e+00 -2.256748727523216758e-02 1.846946703015234448e+00 7.676753298034375561e+00 1.138111285509608983e+01
0.000000000000000000e+00 -2.345420507390489001e+04 1.954941619412976905e+01 6.862070205060653905e+00 1.047474749574826447e+00 5.953146511846934885e+00 1.852050243204711677e+00 -1.165800624337830271e+00 2.860740966250342154e+01 2.803211976979977038e+01 2.452312950282804493e+01 2.032654995642445783e+01
0.000000000000000000e+00 -2.310009129548817145e+04 1.747603101204731857e+01 6.302928606495470376e-01 -8.876414892811540724e+00 -8.257383966360997363e+00 -6.755663286169226289e+00 3.791315816506273251e+00 3.101389629196306785e+00 3.357120177940053907e-01 6.817270262187825836e+00 1.595391789829916007e+01
0.000000000000000000e+00 -2.295423845741231708e+04 1.250461888635573970e+01 9.234173775361867342e+00 -5.441748079690276185e+00 -2.891639378258363813e+00 -8.488500301240978985e+00 1.786339970619065909e+00 9.780863230817931964e+00 2.655321116875612120e+00 2.711842493056160208e+00 8.693727694639413528e+00
0.000000000000000000e+00 -2.261469026893773480e+04 1.681617989275722991e+01 5.789602645464452024e+00 -9.283385155083792029e-01 3.803078642380349095e+00 5.628113437631458993e+00 6.152298188425888270e+00 2.253612487262548925e+01 2.508597665089187245e+01 2.842121432707594408e+01 2.688842144864777950e+01
0.000000000000000000e+00 -2.254688630758723593e+04 1.866719475993484068e+01 -1.941519578967749737e+00 -7.223600217047428274e+00 -5.007717866943856677e+00 -6.671705030904988121e+00 -7.455752275861959433e+00 6.242925954067708005e+00 3.959765785917161551e+00 3.436836645361278642e+00 6.406229657313179615e+00
0.000000000000000000e+00 -2.251260422417360314e+04 1.511605022824533151e+01 -5.233986466758786094e+00 -6.428567671463092381e+00 -8.137303909460978701e+00 -1.208824417626209069e+00 5.345324264633806166e-01 4.197265076168630316e-01 1.710431912904148533e+00 8.367755443228574563e+00 1.374295851097716437e+01
0.000000000000000000e+00 -2.226019978357489526e+04 1.233404180549418783e+01 -8.506497615241514154e+00 7.537494281184041967e+00 8.329987703485837613e+00 7.467759268236676462e+00 2.549312383923258096e+00 2.080344903161279291e+01 2.895895849289208712e+01 2.732602040383692099e+01 2.062100077599736636e+01
0.000000000000000000e+00 -2.209645527819535710e+04 1.012339557599252338e+01 -8.217521055529362073e+00 -2.444177108766931283e+00 -6.734759809888249293e+00 6.838212332792917181e+00 -6.806713621770112965e+00 -5.399626654551603622e-01 4.020443793867641169e+00 8.326217280546369892e+00 6.522907739036307717e+00
