A w B x0 k f sigma_v
5.410824465967504437e+01 4.590432447483035361e+00 6.020863450637094871e+01 -6.485814810454648693e-02 5.781833251205559243e-01 2.483802419621229873e+01 4.590432447483035361e+01
6.292368401152210566e+01 4.654787551407468804e+00 5.784676855240490312e+01 -8.588295290622536271e-01 6.040948254228299952e-01 2.928963810255302747e+01 4.654787551407468982e+01
5.683935568215287049e+01 4.886094754867324141e+00 5.866304444607000335e+01 -4.359231460379326961e-01 7.110504807797948246e-01 2.777224776686053787e+01 4.886094754867323786e+01
6.305195342560240590e+01 4.724597784915543386e+00 5.933481981359018675e+01 -7.984807617450666584e-01 6.526886263984241765e-01 2.978951194891991605e+01 4.724597784915543741e+01
4.562477991098338492e+01 4.838589524131031716e+00 6.135625090911938173e+01 -1.369824824344370029e-01 6.583173121680196971e-01 2.207595821180681384e+01 4.838589524131031538e+01
5.637451201915186516e+01 4.142881827215926904e+00 6.148173711526910523e+01 -6.185230352081223515e-01 4.878893224833757980e-01 2.335529413623101291e+01 4.142881827215926904e+01
5.698473916520143945e+01 4.774133861819149338e+00 5.903172446948838825e+01 2.869179745254175629e-01 6.104151091718199584e-01 2.720527728555200753e+01 4.774133861819149161e+01
5.396251832239664736e+01 4.734350432081933846e+00 5.899883510713199541e+01 -7.259656202340298847e-01 7.364834852341828331e-01 2.554774719358678325e+01 4.734350432081933491e+01
5.719049100522413909e+01 4.928736290167702094e+00 5.772313035299512052e+01 -7.449512918967187147e-01 5.426131657155197630e-01 2.818768484699577215e+01 4.928736290167702094e+01
4.530107482456350709e+01 4.800476417145790542e+00 6.111921768230100582e+01 -5.371774052099063113e-01 6.012464817615965629e-01 2.174667413666740146e+01 4.800476417145790720e+01
6.413776077707819923e+01 4.156787868684217457e+00 5.808365728690350949e+01 -6.763599940893456619e-01 6.187155040817575724e-01 2.666070659227290918e+01 4.156787868684217813e+01
5.512707614696663683e+01 5.098188481503467706e+00 5.823247730412989398e+01 -6.659238308382597893e-02 5.207519409625480655e-01 2.810482246314298749e+01 5.098188481503467528e+01
5.617731866313939548e+01 5.069812482154811839e+00 6.035687489637469128e+01 1.632162293999783742e-02 5.643103411999106367e-01 2.848084713723725869e+01 5.069812482154812017e+01
5.059605219950936572e+01 5.074968160705083164e+00 6.004906463672684680e+01 -2.512792607885234730e-01 6.357139451052853385e-01 2.567733539698824075e+01 5.074968160705083164e+01
5.005368923624680377e+01 4.748046239202461827e+00 5.875614743628614178e+01 -5.137325961108825112e-01 5.148279097947101590e-01 2.376572309363703894e+01 4.748046239202462004e+01
5.049839843866076450e+01 4.375763334467377419e+00 6.147336623208550321e+01 -7.245988583499176627e-01 6.661711458627761484e-01 2.209690403372164269e+01 4.375763334467377774e+01
4.819475181453961454e+01 5.383175696848168101e+00 5.969213295992107504e+01 -5.786715917427400768e-01 5.731646775364633850e-01 2.594408166836587881e+01 5.383175696848168457e+01
5.580568298515488834e+01 4.943319280576519148e+00 5.584689880150639851e+01 -4.240364648605616793e-01 5.332998574034160111e-01 2.758653086662571496e+01 4.943319280576518793e+01
