weight logl C sigma mu1 a1 W lam0
1.217797853548664319e-78 -4.043451093670474847e+02 2.627661114162954732e+02 2.755919081864223852e+00 1.218947995379315216e+03 2.592251928821468709e+02 9.865244474827319365e-01 1.218947995379315216e+03
3.010146659670528612e-78 -4.034376647549566997e+02 1.072926943844052516e+02 2.150529606694877138e+00 1.216389333248182993e+03 5.145241717414697291e+01 4.795519160867066644e-01 1.216389333248182993e+03
7.085921753789655854e-78 -4.025790435926579107e+02 1.075151246036833044e+02 1.894122590334656353e+00 1.219142370023197145e+03 1.513406884339385670e+02 1.407622313528471336e+00 1.219142370023197145e+03
1.309629276162312361e-77 -4.019623243618131028e+02 1.075332506483946844e+02 1.620972768598133718e-01 1.216561366037853986e+03 6.917088069850481702e+01 6.432510900714358826e-01 1.216561366037853986e+03
2.958096665678088234e-77 -4.011450224205204904e+02 1.078610540316575310e+02 2.029427221438203865e+00 1.217766740803644325e+03 3.175070781719783213e+02 2.943667489831770734e+00 1.217766740803644325e+03
6.105469159032158745e-77 -4.004178835107431951e+02 1.078517935374138119e+02 2.058579327406619974e+00 1.215360705715285349e+03 1.824227323070323905e+02 1.691420479194441162e+00 1.215360705715285349e+03
2.717542307557956899e-76 -3.989222554622348298e+02 2.611605678497651297e+02 4.354036984735529803e-01 1.213675623666156753e+03 1.036588502873744488e+02 3.969161621175716359e-01 1.213675623666156753e+03
2.748840136256163117e-75 -3.966057192236164610e+02 2.604905407895457756e+02 8.844635227876767036e-01 1.210787176266571805e+03 1.480796775299106969e+02 5.684647015629887834e-01 1.210787176266571805e+03
6.653495329544511877e-75 -3.957192559476446831e+02 2.602458089442416167e+02 5.498654445757596987e-01 1.219180337508094681e+03 2.508898732082288348e+02 9.640496199575021574e-01 1.219180337508094681e+03
1.151001291054645214e-74 -3.951686809332774146e+02 2.601306495168106494e+02 2.381011363418306548e+00 1.217208741424755999e+03 2.697408207285839694e+02 1.036943632861502929e+00 1.217208741424755999e+03
6.626425648994361805e-74 -3.934157476436745924e+02 1.089670351821370105e+02 1.338421456424177425e+00 1.216150895761215224e+03 2.236031505528180219e+02 2.052025644077295485e+00 1.216150895761215224e+03
1.508110559755281259e-73 -3.925908705093174262e+02 2.592939112919958120e+02 2.476744580230084924e+00 1.211267255339443182e+03 1.016812095401658809e+02 3.921465376240969025e-01 1.211267255339443182e+03
1.830013624783396945e-73 -3.923949046796408879e+02 1.093130736690901301e+02 2.574333017270104662e+00 1.211905420868120245e+03 3.569325790848752149e+02 3.265232301173533802e+00 1.211905420868120245e+03
1.981472761111301085e-73 -3.923128877047498690e+02 1.092882104839306407e+02 1.944584868143755862e+00 1.216752742540776808e+03 3.536536031889281162e+02 3.235972129316987189e+00 1.216752742540776808e+03
3.611529569174408105e-73 -3.917100967057230605e+02 2.591269220881317779e+02 2.697691357545288326e+00 1.217757283468262358e+03 3.668675617895726759e+02 1.415783272665111836e+00 1.217757283468262358e+03
4.652544058352394865e-73 -3.914543139123907167e+02 2.589986296695562942e+02 1.293798921730855644e+00 1.218981846463194870e+03 3.163456725490268582e+02 1.221418325466188115e+00 1.218981846463194870e+03
8.302726016334453776e-73 -3.908726441951210404e+02 1.094984405888789212e+02 2.595440880967244901e+00 1.219653439960974765e+03 3.268974487223154028e+02 2.985407344289762843e+00 1.219653439960974765e+03
2.445670659988667979e-72 -3.897898236148315618e+02 2.584393507021525238e+02 2.518921088878484316e+00 1.219458351019110523e+03 1.374391766189639874e+01 5.318043720724270618e-02 1.219458351019110523e+03
3.045536866916754466e-72 -3.895679658021140881e+02 2.583735321653493884e+02 1.902613148762517525e+00 1.211524410068094767e+03 1.181312763108670616e+01 4.572112140157896104e-02 1.211524410068094767e+03
9.452379516395807691e-72 -3.884328764882233145e+02 2.581221666864324220e+02 1.065960053525335294e+00 1.218275337568260284e+03 3.259739285210256412e+02 1.262866853729070593e+00 1.218275337568260284e+03
1.180509469652743087e-71 -3.882081118064735961e+02 1.098332517116472644e+02 2.889877167312881134e+00 1.218510277019536943e+03 1.261398347183455542e+02 1.148466723442815640e+00 1.218510277019536943e+03
1.435912649332887750e-71 -3.880097572660947662e+02 2.579155219497156395e+02 1.368061880005722930e+00 1.210909678434204807e+03 4.517500642693428148e+01 1.751542756536452472e-01 1.210909678434204807e+03
1.680004571578847299e-71 -3.878502613911259118e+02 1.099788275540496443e+02 8.287239688195544574e-01 1.213707556011931729e+03 1.690647320337771191e+02 1.537247993944010904e+00 1.213707556011931729e+03
3.143698702000787401e-71 -3.872211578684375013e+02 1.103095812543986085e+02 1.125415962063057718e+00 1.212393169900321027e+03 3.540863711755117151e+02 3.209933055215840270e+00 1.212393169900321027e+03
4.025121606599124865e-71 -3.869715027824814797e+02 2.576167290731833646e+02 1.357856570097225379e+00 1.216493704897810403e+03 4.416791791026422231e+01 1.714481744612053882e-01 1.216493704897810403e+03
4.485358986926126657e-71 -3.868607393717295508e+02 2.576298385071839903e+02 2.454921329843777755e+00 1.219526434011211904e+03 3.504394209622448102e+02 1.360243918145656927e+00 1.219526434011211904e+03
1.323292505496668343e-70 -3.857763498594356406e+02 2.573505840571980912e+02 2.870901712332636357e+00 1.217317262808203850e+03 3.360391951913463799e+02 1.305764260929981546e+00 1.217317262808203850e+03
4.239449526513698093e-70 -3.846095393805582034e+02 2.569654337020130015e+02 2.935192588221187115e+00 1.217938142526027832e+03 2.673734029106163916e+02 1.040503382336913418e+00 1.217938142526027832e+03
2.652773204202366962e-69 -3.827732821347683512e+02 2.563461436283531611e+02 2.982013133825522910e+00 1.213571862015377974e+03 5.109044046060042632e+01 1.993025513762773371e-01 1.213571862015377974e+03
6.510550896139102533e-69 -3.818729636440241393e+02 2.561549408191305588e+02 2.037147963276844109e+00 1.212892884376822167e+03 2.795385306882813552e+02 1.091286897665822542e+00 1.212892884376822167e+03
9.457964174474993618e-69 -3.814970305633668204e+02 1.109623892611495251e+02 2.932572797411503007e+00 1.219612605046586623e+03 1.045973361697363941e+02 9.426377429884552628e-01 1.219612605046586623e+03
1.599390489638124226e-68 -3.809691800140411146e+02 2.558751408654660224e+02 7.686269323709274959e-01 1.212819264352178834e+03 3.093314612422215077e+02 1.208915646107496356e+00 1.212819264352178834e+03
2.491732428473955897e-68 -3.805233244037741542e+02 2.557028630876774002e+02 5.601839441151944543e-01 1.212846480602192059e+03 1.879385094426980061e+02 7.349878963938553111e-01 1.212846480602192059e+03
4.070616194726653598e-68 -3.800300082395425534e+02 1.111754524699625222e+02 1.922630087780351493e+00 1.219578214647427330e+03 1.981927448396856306e+01 1.782702390109305035e-01 1.219578214647427330e+03
