H0 sigma epsilon tau
7.240133134033010265e+01 5.034803219768506324e+02 1.349609039848150838e-01 3.622976089635189823e+01
7.134549151844956327e+01 4.478766378892065063e+02 1.861101219040319776e-01 3.363733789478470015e+01
7.219348496975581497e+01 5.140776643080362192e+02 1.009039116851646045e-01 3.568128102952379521e+01
7.321838938420411580e+01 5.968652139104640355e+02 9.717461703792164285e-02 2.540959273954350550e+01
7.151076038810393243e+01 5.512192786068733312e+02 1.580716767074553941e-01 4.399239700375808582e+01
7.547757733664215607e+01 4.287702659756594130e+02 7.349451952051977432e-02 3.825523539073569168e+01
7.064561622415500608e+01 4.855120158788096205e+02 2.483205548951281094e-01 4.171130801357647044e+01
7.460044345915460440e+01 5.091649725360402954e+02 2.948030578565025150e-01 2.743284861839838840e+01
7.164331657506772899e+01 4.803249603801520493e+02 2.215851687743709275e-01 3.200843590052306809e+01
7.110231502673212844e+01 4.663504019338658395e+02 2.701046220885967575e-01 4.263989168539404773e+01
7.351434210491541421e+01 4.973008282761723535e+02 4.267433076995476998e-02 2.373218641649321015e+01
7.046319939485996997e+01 4.013294586089009499e+02 2.074812421807637752e-01 3.395733721884587908e+01
7.319393069871262014e+01 4.501028204719401629e+02 2.393589546554439618e-01 2.300215109231356081e+01
7.266409151672766598e+01 4.693290426650763152e+02 2.812745582844881909e-02 4.098049654828633237e+01
7.354546547945807333e+01 4.119479544008144671e+02 2.429229244617023276e-01 3.182973197199922666e+01
7.142864668313646348e+01 5.525955737974586555e+02 1.932634103512070878e-01 4.825421547414909895e+01
7.023157066673351778e+01 4.895315225318457237e+02 1.506909405534259949e-01 3.048424003948497329e+01
7.512668995765451996e+01 6.157201715744964758e+02 4.473698578273391235e-02 3.851355456743567629e+01
7.084300064481766412e+01 3.716710391925641943e+02 1.484216483464665670e-01 3.410054364587595188e+01
7.207034827538797117e+01 4.541494113508199462e+02 1.427612963714111061e-01 2.922826338813266744e+01
7.598559659600078930e+01 4.531993518521924784e+02 1.613282487991473668e-01 2.973218084685260010e+01
7.161473993406855243e+01 5.184871012416235772e+02 7.578653001448709681e-02 3.320171036543603549e+01
7.051640514293129058e+01 4.128608200351460482e+02 1.374526058340195256e-01 3.097369077280579930e+01
7.290576412005025020e+01 4.580292285916291348e+02 6.302987476665410094e-02 4.437693604639755307e+01
7.083262349323454998e+01 5.059490292292985600e+02 7.187550029305816990e-02 4.698407164873700026e+01
7.188104906159985319e+01 4.669960884694851302e+02 2.019729218578790453e-01 3.000797234803682656e+01
7.425101897220329761e+01 4.309570085233636973e+02 1.239274700507378285e-01 2.517566907288106393e+01
7.159486378096914905e+01 4.598329175111169889e+02 2.040422952601801954e-01 4.078921565555715745e+01
7.242789666980131358e+01 3.840332049446710130e+02 1.526317372351977675e-01 4.229565628119439680e+01
7.217355106399040210e+01 4.412315432906372621e+02 1.972302045807432791e-01 3.001199428812130066e+01
7.195259070538273249e+01 3.951720416134868401e+02 2.219270369874979110e-01 2.684225853828213104e+01
7.224897740196979612e+01 5.457763402194063929e+02 9.657934524621583638e-02 3.932367796934929061e+01
7.268180365119627595e+01 4.409585143043545941e+02 1.271806982906788230e-01 3.185584972337219156e+01
7.302474236466427726e+01 5.714964677441234926e+02 9.594183757036428561e-02 2.909547143950607051e+01
7.117341245276065820e+01 5.078989759009995737e+02 7.551543704036138560e-02 2.130463276330083033e+01
7.179441362326750209e+01 4.838603891946040108e+02 1.177909689334417365e-01 3.287216810706561887e+01
7.226405870841136903e+01 3.716626040396844814e+02 1.527310751746385198e-01 2.582900626944617528e+01
7.293347430625085792e+01 4.913234241938968694e+02 3.585634134074501544e-02 2.776784686973739014e+01
7.133817706632474653e+01 4.165399603707931533e+02 9.615346882316745669e-02 3.416120783875325628e+01
7.280340968281123537e+01 4.248418100128798756e+02 1.250879151207190954e-01 2.582870766027954801e+01
7.265951008890216656e+01 5.885095013216732696e+02 1.094921301848161554e-01 4.504656688418388910e+01
7.246966329330091128e+01 3.994502729495573590e+02 2.216852073176470705e-01 2.514471360172285230e+01
7.283601146727690434e+01 4.116467897500367599e+02 1.479990198553180480e-01 4.239540802447238832e+01
7.051640514293129058e+01 4.128608200351460482e+02 1.374526058340195256e-01 3.097369077280579930e+01
7.170317469294100476e+01 4.219240546692985276e+02 2.359734130810396402e-01 2.246111328837513810e+01
7.279825039380305896e+01 4.765398843985193480e+02 1.067219874477685210e-01 1.873440627813451442e+01
7.224915636343922642e+01 4.503322678971435948e+02 1.264115406330012792e-01 3.741690962498928030e+01
7.135954003229052489e+01 4.284781591985158684e+02 2.337814591212455106e-01 2.910860197372801395e+01
7.365991075505104391e+01 3.943098260999358331e+02 1.660551304186216881e-01 3.590226291347971710e+01
