weight logl H0 sigma epsilon tau
1.334884507209617871e-32 -4.739253117545165424e+02 3.745408278819306602e-02 5.296224019886359713e-01 1.304896073948479396e-01 4.599307915660294510e-01
3.963432410275556502e-32 -4.728345461110633892e+02 2.064150564702117441e-01 1.857804427084471799e-01 5.388369768015445205e-01 3.671242974123655189e-01
4.459129320986881040e-32 -4.727142030037084623e+02 8.680532176064763572e-01 4.072680550582142844e-01 6.826689301010283595e-01 7.378791624640943514e-01
1.306977534859450999e-31 -4.716363541920093780e+02 2.724110904812848677e-01 2.049892129202571800e-01 4.902899316382081096e-02 2.829473468036401984e-01
1.437248483960146671e-31 -4.715388409274780770e+02 1.756728828753744143e-01 7.486957919608494549e-02 8.875173775313803803e-01 4.401678531932122773e-01
2.144303537359913352e-31 -4.711362566297300418e+02 9.927121913499913353e-01 2.744412905671828051e-01 9.947819807452599195e-01 3.628669751241767605e-01
2.242051281677769649e-31 -4.710891802406068791e+02 4.278888518403913821e-01 3.526298067413879966e-02 9.692054803278351560e-01 1.357106242706525023e-01
2.574670664468466472e-31 -4.709483498095365803e+02 1.877817882395094173e-02 5.170636246493095500e-01 2.839453431340425160e-01 7.519667490256749520e-01
4.777252338055128911e-31 -4.703277058816252634e+02 2.374475692319001352e-01 9.772879904644848903e-02 6.395097534731863931e-01 7.268706911127511550e-01
1.102365667877485217e-30 -4.694890278674645288e+02 4.384119438245226430e-02 5.559915676828069975e-01 3.049627163973407384e-01 3.489155060818857068e-01
2.382758567792264151e-30 -4.687157274665977980e+02 8.529702087283758116e-01 3.954787340338699053e-01 7.795009946285789137e-01 7.570118531465938050e-01
2.401870483888666046e-30 -4.687052385430937989e+02 3.428100315857596225e-02 4.690879744368490201e-01 6.150578557360522058e-01 5.773186988559754207e-01
2.681709852883740331e-30 -4.685925317492933004e+02 8.877870786092034727e-02 2.546022175933242426e-01 9.002377571183353133e-01 9.352082475295936392e-01
2.978138079845799460e-30 -4.684851880453606441e+02 7.654725237391948323e-01 3.274226491280501916e-01 7.849872412737256555e-01 1.431581598073340400e-01
4.099067005549468525e-30 -4.681632269569922755e+02 5.141493433944421820e-02 5.022865800562611449e-01 1.204005416454733135e-01 8.212609649566506853e-01
6.874987812947377617e-30 -4.676435964742959754e+02 6.411571204859911610e-03 5.650796820807832965e-01 4.007322507331240180e-01 6.353179509742848952e-01
9.961994940163227979e-30 -4.672702089984476288e+02 7.329667944351162534e-01 3.471718744449054928e-01 6.359984273490617568e-01 8.346280651922688421e-02
3.662283535583105746e-29 -4.659658143825067214e+02 2.205075556622688726e-01 8.384573670578632232e-02 9.130556392846779223e-01 3.159608861221803178e-01
3.690086566457972683e-29 -4.659557513346688324e+02 9.577338586139724219e-01 5.813386941402149954e-01 6.357116040736339180e-01 4.085938951199638014e-01
4.895605559679972691e-29 -4.656705632740170699e+02 9.245029632004005959e-01 4.803311266652395828e-01 9.577223105871619513e-01 7.666466910003761903e-01
6.059330155684029093e-29 -4.654548019935847378e+02 1.801835627756239733e-01 2.808408688061098113e-01 2.446622384682183293e-01 4.939034356151901228e-01
6.413760499555366036e-29 -4.653954554918796589e+02 5.480161318124554537e-02 3.984089956148952893e-01 7.397204741069188794e-01 7.736773786592697766e-01
7.272059287475721692e-29 -4.652673617425056705e+02 1.963277178717012239e-01 1.419217696161910736e-01 8.503919869357551287e-01 3.812077640867105321e-01
1.306877380911228042e-28 -4.646786755461621965e+02 6.836866729371269269e-01 2.742786547505320360e-01 3.497539067375216026e-01 1.536087281218729839e-01
