m0 c1 c2 c3 m_100 m_200 m_300 m_400
1.130748600411720162e+01 -5.108429950469428604e-02 3.289062304907941936e+00 1.517939119988975349e+00 1.465779424512679796e+01 1.548624073099612986e+01 1.553306522843099557e+01 1.481342874559553380e+01
1.040059362483686556e+01 1.331827727465777045e+00 2.694011696014213086e+00 2.673314691884050021e+00 1.482128265710639425e+01 1.552384699470238161e+01 1.556962369513567523e+01 1.488815229069692236e+01
1.393463787112337648e+01 -2.337742032344935161e+00 3.567881899945435364e+00 -7.126644075507702070e-01 1.478886423571680808e+01 1.565235474068720478e+01 1.569540474551891762e+01 1.506962424604173911e+01
1.035174924802761076e+01 1.765266018529224823e+00 2.243134947093350817e+00 2.859559094919863043e+00 1.481751360022937902e+01 1.539998242223679270e+01 1.542795890340050491e+01 1.481074123883808724e+01
1.461062917763633529e+01 -3.279249565366440855e+00 4.065418598813312911e+00 -1.769010516925614951e+00 1.473010728545835413e+01 1.561412325833609493e+01 1.557258573449244921e+01 1.486362151672456200e+01
1.057318888023391068e+01 1.492846794649743458e+00 2.111849761142527981e+00 3.128356462406234328e+00 1.476995106977457262e+01 1.548794010154477085e+01 1.568231103669125659e+01 1.518448181526268215e+01
1.087963012924433137e+01 1.171110891971325785e+00 2.195665710031649454e+00 2.623125446076304712e+00 1.470240420046538965e+01 1.537661650849765671e+01 1.551240243934037188e+01 1.499298677120096102e+01
1.072435382744401977e+01 -1.471019435757980887e-02 3.773329522321464680e+00 1.715655091983025571e+00 1.459831540111494697e+01 1.552935858065708352e+01 1.556359004700872362e+01 1.472665815559399149e+01
1.280866329137664650e+01 -1.640982590622467541e+00 3.969287859203463498e+00 -2.721004218257583318e-01 1.477504740585579057e+01 1.561760764895485565e+01 1.553867070619946844e+01 1.472197480969466810e+01
1.188367698783510917e+01 -1.223768183522579989e+00 4.090749339097738968e+00 5.911006867395940390e-01 1.460568127380581593e+01 1.559069409273032392e+01 1.561809577374691216e+01 1.479032355620369010e+01
1.066869571215949364e+01 1.632816859878056803e+00 1.735899042138020931e+00 3.260824114529572881e+00 1.470021165577978550e+01 1.537273804290174795e+01 1.560838644329509073e+01 1.520337355011668201e+01
1.310099924965146378e+01 -1.098806749513681069e+00 2.913519387463116672e+00 2.275714978757292783e-01 1.477635918000875215e+01 1.548608774517371067e+01 1.551627190432007453e+01 1.494700226102300888e+01
1.137781582331555796e+01 1.700438751814754568e-01 3.046288479446223718e+00 1.646283539055229284e+00 1.475068917688283676e+01 1.552576256757291162e+01 1.557420125843507464e+01 1.489477965949463645e+01
1.038402889107253380e+01 1.920036092648302883e+00 2.070615420123964157e+00 2.980307485413462132e+00 1.487333066901462786e+01 1.542685293441686767e+01 1.546479716529825410e+01 1.488007674168801309e+01
1.220749573554030931e+01 -5.647910701001261913e-01 3.405485430692349880e+00 5.627047563068252600e-01 1.489708319748176457e+01 1.561171575295124114e+01 1.552605046998369964e+01 1.475929565732521809e+01
1.155053946628306782e+01 -4.295769435049656693e-02 3.306060982486631161e+00 1.200527746575295041e+00 1.481997230593464465e+01 1.555870217620919327e+01 1.551364373943995112e+01 1.475048086988405949e+01
1.032991260840788783e+01 1.193169365729492171e+00 2.780582836370388833e+00 2.785929549948116701e+00 1.474119552067694094e+01 1.552394093516604201e+01 1.562970792609323034e+01 1.496382881454561264e+01
1.092642210355487897e+01 9.365337766807222408e-01 2.661518813306962272e+00 2.078547592277086409e+00 1.477649797391000419e+01 1.541668020866309163e+01 1.541356402589192953e+01 1.474600852143236196e+01
1.173461213243323975e+01 4.933738618846117419e-01 2.426478477347352225e+00 1.652787788178448736e+00 1.484795441126171589e+01 1.546280345124329436e+01 1.549472701816854681e+01 1.492590440359537851e+01
1.216030474427080321e+01 -9.325240541005044292e-01 3.540179715834257834e+00 6.949669942181166959e-01 1.468717553816355093e+01 1.555639881985520390e+01 1.559506236284862268e+01 1.487629587004850862e+01
1.415910866312141714e+01 -2.688294137236271197e+00 3.751020821374499548e+00 -1.275523294496741400e+00 1.468285988543598286e+01 1.550595268264645554e+01 1.547096623830812412e+01 1.479487345352257854e+01
1.009922617826448565e+01 1.159416041193354729e+00 2.826904056186517522e+00 2.950213523354683787e+00 1.457493541650401525e+01 1.541874656541086708e+01 1.557392182654488444e+01 1.492095358208627331e+01
1.108068911178151872e+01 5.998564194099529345e-01 2.600620560416453841e+00 2.241724922586707081e+00 1.463288166052810269e+01 1.540481587818631581e+01 1.554878886839850161e+01 1.498095187696200270e+01
1.029111405475904029e+01 9.662957269496548207e-01 3.263019399638904972e+00 2.289818716920038355e+00 1.476686685027904211e+01 1.552906669613806478e+01 1.550518678512802317e+01 1.469082798669424506e+01
1.013674584188646222e+01 1.429712508171647301e+00 2.663137415288982623e+00 2.938936340683092396e+00 1.470280615649595291e+01 1.544960272552414615e+01 1.554471827297328979e+01 1.488444722321051650e+01
1.162315469969767356e+01 -8.070448329860369086e-02 3.321464981954953544e+00 1.131024867085905328e+00 1.485030581552349993e+01 1.558167119694076597e+01 1.552626229063581320e+01 1.475782774939544595e+01
1.107659471769802018e+01 8.625787433531684201e-02 3.095503912922678680e+00 1.872725429202198200e+00 1.449247457099044567e+01 1.536028206608134283e+01 1.548904555518517334e+01 1.483851191120280788e+01
1.111094308487641236e+01 1.494912887424330705e+00 1.457415327156862617e+00 3.027330188054303761e+00 1.469919380471767134e+01 1.531123748798421857e+01 1.555404426831852760e+01 1.522455481182010573e+01
1.245853048621447456e+01 -1.185736129350274837e+00 3.505585653892023146e+00 4.435725597421935618e-01 1.464979743205767626e+01 1.551397118061742475e+01 1.555869821753367965e+01 1.486787629038143521e+01
1.012962827198942861e+01 1.877233455253431771e+00 2.125463161178842597e+00 3.338914799062994376e+00 1.474598256579186106e+01 1.541884527501771451e+01 1.556137336951004713e+01 1.501175756576509457e+01
1.028471343806308091e+01 7.830177212875462089e-01 3.230465633183483121e+00 2.571523725204247768e+00 1.466145158921668923e+01 1.554981130782060461e+01 1.565915971087035174e+01 1.492158354003083431e+01
1.208253583787196206e+01 -1.906702047414619017e-01 2.829225285888396613e+00 1.308334701114993948e+00 1.483580661313050975e+01 1.558965890808318555e+01 1.567201815823937672e+01 1.508107801194904063e+01
1.168719322971045749e+01 5.403948999587022683e-01 2.298745445683421096e+00 1.858168347103582363e+00 1.479598472939695242e+01 1.544074082399704295e+01 1.553109731377563207e+01 1.501275566534134853e+01
1.024827474889881174e+01 2.006279448440274393e+00 1.520474137461601316e+00 3.856751830775998258e+00 1.461272786248659195e+01 1.532485711605926326e+01 1.564500358351243037e+01 1.529876115875185150e+01
1.156273258233904322e+01 -1.327970376275526831e-01 3.141947569834513843e+00 1.500056283095112519e+00 1.470529557990569636e+01 1.553396480432519411e+01 1.561617371841153101e+01 1.495050427304808061e+01
1.182756736787079532e+01 -2.042401007729459650e-01 2.906283723636139626e+00 1.410901047157066657e+00 1.467016500185404304e+01 1.546572795136676604e+01 1.557116250333173113e+01 1.497357770735059823e+01
1.081507627380195835e+01 4.510226776872592325e-01 3.143600086833437501e+00 2.037912367623341936e+00 1.464893300786056329e+01 1.546829177564952751e+01 1.553417059070930861e+01 1.482071775779601808e+01
1.015703855283124746e+01 6.744657952292438807e-01 3.531922638856206831e+00 2.367047810511458295e+00 1.463763122901704961e+01 1.553373244550231291e+01 1.558182868740625615e+01 1.475758475097290301e+01
1.029225992437574178e+01 1.522340438073118918e+00 2.500071423689673722e+00 2.774988787447384198e+00 1.474293289003749052e+01 1.539879327822274746e+01 1.544171580103126651e+01 1.478964505613150138e+01
1.329531261948889487e+01 -2.699260274438648466e+00 4.490646027310887689e+00 -1.015814669318073626e+00 1.454641825895989982e+01 1.553265179028114318e+01 1.548551902178249406e+01 1.463790729388111878e+01
1.198072400045509767e+01 -6.104242973450446641e-02 2.649512146300160964e+00 1.439077166377176198e+00 1.473224046054172831e+01 1.546605646467806316e+01 1.556907382940647189e+01 1.501855032232677623e+01
1.007580776612599749e+01 1.718762984596684973e+00 2.546472901377184073e+00 2.964773249559593538e+00 1.480238617491815489e+01 1.546298898939401312e+01 1.549746606746249356e+01 1.481770417983523558e+01
1.104198215720403908e+01 -1.439539042348219056e-01 3.484760604405272133e+00 1.726647216323311085e+00 1.455079400127511491e+01 1.548669478031311542e+01 1.559429842690644819e+01 1.486276147945523896e+01
1.234692463605891177e+01 -6.643863718838538546e-01 2.729210491029895991e+00 1.192516844326332759e+00 1.455627906146419726e+01 1.539646245095368826e+01 1.559214218738076774e+01 1.510487640218680028e+01
1.073397137920209055e+01 -2.018730392817111863e-01 4.240301914408981077e+00 1.371567835950857628e+00 1.474315523490089674e+01 1.568372905029724507e+01 1.562089047130689856e+01 1.465009178773114407e+01
1.038267937617530379e+01 7.093269837936624356e-01 3.035879239608638258e+00 2.569009855700109313e+00 1.452184765618934392e+01 1.540697042180232934e+01 1.555926139756791748e+01 1.488904003814221610e+01
1.146441437302203070e+01 -2.892701538372062231e-01 3.353356346825586698e+00 1.352729386496243080e+00 1.460762788058065276e+01 1.546279134980979464e+01 1.552360818679972176e+01 1.481190873860848711e+01
1.018705545470399798e+01 5.199078064705666691e-01 3.904998414292899511e+00 2.080776772344094638e+00 1.476755080191851732e+01 1.566944880228982662e+01 1.563827286864841071e+01 1.470669536169157254e+01
1.293185550333751088e+01 -1.255038112512432136e+00 2.936401806320652952e+00 5.414472506061347445e-01 1.459143594109513664e+01 1.543544257342123061e+01 1.559359530387623138e+01 1.508446954028306664e+01
1.016236551167984992e+01 6.580873424415401018e-01 3.671157672660452675e+00 2.253460381705012949e+00 1.471450230105197932e+01 1.559946614625172856e+01 1.560447227311509089e+01 1.473155801537645893e+01
1.332945217031688045e+01 -1.109653711763215256e+00 2.592238179900196116e+00 3.135916321322014255e-01 1.473963666838244713e+01 1.543885429188626723e+01 1.553358616343616916e+01 1.506514043646019019e+01
1.239180626555620890e+01 -3.013197487005907504e-01 2.644282226284371262e+00 9.870160510236587470e-01 1.477990059118295108e+01 1.545198432245110354e+01 1.549859154776187786e+01 1.494188136621933793e+01
1.072925928599078205e+01 1.337761639031484151e+00 2.438793130076671645e+00 2.549204185629072583e+00 1.488966260083452298e+01 1.552561636197928152e+01 1.556545908405029977e+01 1.493871262802929678e+01
1.223195100234050869e+01 -3.917980404826799656e-01 2.901922019124054231e+00 9.852868116291979561e-01 1.476700343304590390e+01 1.549384215736010084e+01 1.553520255463087096e+01 1.492431839188336440e+01
1.087388572256524633e+01 4.758339636398325467e-01 3.082963675331971132e+00 2.089821957686943676e+00 1.469297947078595712e+01 1.551299837645517243e+01 1.559333369178710882e+01 1.489801679636417120e+01
1.357273718821372199e+01 -1.699592627231281128e+00 3.091629743736767466e+00 -2.525257414742139161e-01 1.471922252677150489e+01 1.548034728994239551e+01 1.552646073639125923e+01 1.496536482520216538e+01
1.098990076832585849e+01 6.469781547481723294e-01 2.847328312731395528e+00 2.137871799569168729e+00 1.476768075718386264e+01 1.552632596105004836e+01 1.559936748046142974e+01 1.494232345965520459e+01
1.066869571215949364e+01 1.632816859878056803e+00 1.735899042138020931e+00 3.260824114529572881e+00 1.470021165577978550e+01 1.537273804290174795e+01 1.560838644329509073e+01 1.520337355011668201e+01
