weight logl m0 c1 c2 c3 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.343199529518868076e+04 1.072949973928929523e+01 7.619079666018681252e+00 -8.423383535897482233e+00 -3.915762057822249176e+00 8.748442251724247498e+00 4.552291875416607070e+00 2.313794984864069093e+00 2.735827613029566230e+00
0.000000000000000000e+00 -2.324913552976235223e+04 1.499788274014963285e+01 -6.135640785971601119e+00 -5.117121681368899111e+00 -4.452894826725771082e+00 3.621711424817698699e+00 3.458489568220683097e+00 4.560421894082436367e+00 6.610928040585784871e+00
0.000000000000000000e+00 -2.321536958763173243e+04 1.168980205913146087e+01 -2.513383205797698139e+00 -7.090873416719791322e+00 2.517303581641634480e-01 3.295800220019184934e+00 3.227166848695546264e+00 4.838303434443920636e+00 7.300550857875017563e+00
0.000000000000000000e+00 -2.307115315342590111e+04 1.841457860408432978e+01 4.360449394077711815e+00 9.173498664680334258e+00 -4.190244205192534821e+00 2.899787272562932117e+01 2.769131193426570192e+01 2.422791588395173434e+01 2.037846524963974204e+01
0.000000000000000000e+00 -2.282467934897786472e+04 1.445531882435446747e+01 -5.532866578923716361e+00 9.933054906958354024e+00 8.115625455827782275e+00 2.097322922302464576e+01 2.595489617680010497e+01 2.858696455384050950e+01 2.784685456029248130e+01
0.000000000000000000e+00 -2.280544511738127767e+04 1.976336710586803491e+01 -7.971945871532806649e+00 9.399497599259788672e+00 3.100074499404101402e+00 2.202962391909262507e+01 2.620792534775550564e+01 2.820608886973141338e+01 2.748563953264765303e+01
0.000000000000000000e+00 -2.279768001358379115e+04 1.093399638173270283e+01 6.419686822783230440e+00 -6.220893274698740427e+00 -5.871494110896142260e+00 9.203236021988614013e+00 5.045598794224495975e+00 2.346669135776645376e+00 2.158149903383367985e+00
0.000000000000000000e+00 -2.270120097161629383e+04 1.763970030699066172e+01 -7.520013866656007906e+00 -7.298889299475670001e+00 -4.155918661059796904e+00 3.212834915724728901e+00 3.258999948719328188e+00 5.089476705737869366e+00 8.039058297363260053e+00
0.000000000000000000e+00 -2.263680017445243720e+04 1.288216814183472003e+01 7.465892084282799601e+00 6.617959440510176705e+00 5.157300090529776782e+00 2.698545368822378521e+01 2.715648065981332238e+01 2.569761849130080122e+01 2.306386215760898040e+01
0.000000000000000000e+00 -2.260624791494266174e+04 1.714751965716684623e+01 7.837185970980154792e+00 8.369884859383176945e+00 -4.522891698069422262e+00 2.998184151555879851e+01 2.752762560838037231e+01 2.308684096891530402e+01 1.876186752773849165e+01
0.000000000000000000e+00 -2.249685900578505607e+04 1.705490852736824792e+01 -6.324648816950489305e+00 6.160682279498711722e+00 9.487028438214856862e+00 1.999019575630481782e+01 2.513367100481422511e+01 2.881065192469220548e+01 2.942263151383328790e+01
0.000000000000000000e+00 -2.215155899352936103e+04 1.774475663917663582e+01 -7.685778523340520252e+00 -3.005457768257642215e+00 -9.662218209891101139e+00 5.172910745045316006e+00 4.217206967619407720e+00 4.070364864342771227e+00 5.219479133015603622e+00
0.000000000000000000e+00 -2.199899865276185665e+04 1.263476198238422832e+01 1.561369071325167113e-01 9.275557782626066228e+00 7.400003868676392926e+00 2.336063284664687956e+01 2.649335081464320041e+01 2.740158372066338188e+01 2.568180686470992669e+01
0.000000000000000000e+00 -2.191826655333505187e+04 1.907558573046518546e+01 -8.292226232287658760e+00 -9.429662206597100749e+00 -2.469049188237031345e+00 2.634491164209350700e+00 3.118880043707896732e+00 5.882918073570211348e+00 9.764926517384807880e+00
0.000000000000000000e+00 -2.174116340355633292e+04 1.915831103161620064e+01 -8.834155064492644982e+00 -6.396723659668445805e+00 -6.234723693727719507e+00 3.692989303436155168e+00 3.621850397594668536e+00 5.143067628369900390e+00 7.848205438781098664e+00
0.000000000000000000e+00 -2.173200905070242879e+04 1.205011876887810729e+01 3.033975065615731381e+00 -2.561448520585587474e+00 -9.290096659174489346e+00 9.451069178857650854e+00 5.694140690908874092e+00 2.576154347854304305e+00 1.617028923530817508e+00
0.000000000000000000e+00 -2.128707640486833407e+04 1.466442339682468621e+01 -9.461294939344874422e+00 -5.735894049962326768e+00 5.058876906570333176e-01 1.417188872746384831e+00 3.496800280320423226e+00 6.977326237776646067e+00 1.041086845491493307e+01
0.000000000000000000e+00 -2.122352850578542711e+04 1.457425293713385983e+01 -3.545643509053533649e+00 -2.642563067549527744e+00 -8.236952040688962029e+00 6.439032997205968556e+00 4.785184417671876744e+00 3.822012638903736104e+00 4.254654707198024965e+00
0.000000000000000000e+00 -2.118380038854590384e+04 1.839509833896082469e+01 7.844370279797498569e+00 7.715256146817694116e+00 -6.285700460780148546e+00 3.008575230215436136e+01 2.705573551938128318e+01 2.220337097016992089e+01 1.785055735239122399e+01
0.000000000000000000e+00 -2.106119271567044780e+04 1.059821009004575920e+01 7.910065962958775287e+00 -4.457500671616037025e+00 -7.732998394827115263e+00 1.113455125666802559e+01 6.248106327342329180e+00 2.408154854791142441e+00 1.232111889711177355e+00
0.000000000000000000e+00 -2.098449034785562253e+04 1.449691726491509414e+01 2.327256294984955787e+00 -7.866214886154602404e+00 -5.502483969720525891e+00 7.822408467294010848e+00 4.704829442465316092e+00 3.454631431361185889e+00 4.538292680699857584e+00
0.000000000000000000e+00 -2.073342847092643569e+04 1.190081263402812439e+01 -3.566485676195158661e+00 -9.917993487875190084e+00 5.739944454265943463e+00 1.864288668346841149e+00 3.301088532674421927e+00 7.055828928446431725e+00 1.114251860592033339e+01
0.000000000000000000e+00 -2.034146054095825821e+04 1.069570744385975125e+01 -4.195336624738986941e+00 -5.595533544293861183e+00 2.214833058783638009e+00 2.774345863401297407e+00 3.898937765143767997e+00 6.350223350210379536e+00 8.948900780196677118e+00
0.000000000000000000e+00 -2.033348261048562563e+04 1.181468801149043379e+01 -6.499328464181051146e+00 -5.027944512554462619e+00 1.703091671302969345e+00 2.194818227500197949e+00 3.877678832813622911e+00 6.770492655467666765e+00 9.588588722047507673e+00
0.000000000000000000e+00 -2.028630503335699177e+04 1.715013624340672038e+01 -4.811759056910169363e+00 -8.724088219584524850e+00 -2.767425810439483769e+00 4.306341330451660454e+00 3.829040026144602038e+00 5.446761255743338026e+00 8.440082674918146566e+00
0.000000000000000000e+00 -2.026420580011933271e+04 1.922009908072904949e+01 7.742834659229032468e+00 1.893543214255025475e+00 7.123160778802954951e-01 2.795542787843632482e+01 2.624195044953275513e+01 2.403349221107620792e+01 2.212878589520684969e+01
0.000000000000000000e+00 -2.006116193267460039e+04 1.158212866791034124e+01 -6.122413092434761950e+00 -5.354798799563477374e+00 2.308688875984596933e+00 2.203046262865985483e+00 3.914189203381299720e+00 6.906289578773771254e+00 9.814389385411079303e+00
0.000000000000000000e+00 -1.996388036828632903e+04 1.092969690015672057e+01 8.764883348326605983e+00 9.828994177755646433e+00 1.473024196759551430e+00 2.781695716391816831e+01 2.696829589531041904e+01 2.374923411376291327e+01 1.955050539034368740e+01
0.000000000000000000e+00 -1.993851892171046347e+04 1.300911413514166526e+01 -9.682058310718677063e+00 1.233499198915041006e+00 -5.920612331480139545e+00 3.631145485984797361e+00 4.779115216164919744e+00 5.729447193907151181e+00 6.526332782739958205e+00
0.000000000000000000e+00 -1.993503193390395245e+04 1.696440679867715318e+01 9.487857166277962051e+00 8.323104428161517632e+00 -7.195919591806494431e+00 3.034635218743091656e+01 2.667764163590302218e+01 2.103940016437652716e+01 1.610074706344735773e+01
0.000000000000000000e+00 -1.988217115955357440e+04 1.428335910357058225e+01 -4.755481236027079284e+00 -3.672173588711959979e+00 -5.132123810309543899e+00 5.179823166880730412e+00 4.614049903126106855e+00 4.969715202747970295e+00 6.280365023916143485e+00
0.000000000000000000e+00 -1.964027206108802784e+04 1.148543660751880857e+01 -9.124059418272565836e+00 -2.689119352041632993e+00 1.573378965475178859e+00 1.571144296269672225e+00 4.216598059162690149e+00 7.538650769818995734e+00 1.019297507271456560e+01
0.000000000000000000e+00 -1.958322287252661408e+04 1.954325411512057897e+01 6.392656464576329967e+00 -3.818936727320163982e+00 8.816982787259213694e+00 2.467700902790979001e+01 2.494942991720738945e+01 2.602940597619094376e+01 2.690908666302528829e+01
0.000000000000000000e+00 -1.955809635322209942e+04 1.335672591235370454e+01 2.517764059327449289e+00 8.042891960449960465e+00 5.326015357037135800e+00 2.440557616591920009e+01 2.615711057685165031e+01 2.597214352506343005e+01 2.390174414825203542e+01
0.000000000000000000e+00 -1.939940177925556054e+04 1.533221726371127147e+01 -4.775518791006094332e+00 -8.205420001219572157e+00 -4.108995314958736600e-01 3.743179440195374852e+00 3.981075535798890286e+00 6.177958005994449664e+00 9.298182737473876358e+00
0.000000000000000000e+00 -1.903861347771415603e+04 1.943019839833226214e+01 4.599534630621294085e+00 9.360662870115021406e+00 -8.177964275492808355e+00 2.909503317219409269e+01 2.662043397520811894e+01 2.196717651130889948e+01 1.755224247078961142e+01
0.000000000000000000e+00 -1.901593429300458592e+04 1.214636865278136035e+01 4.462544865101705227e-01 9.528057245667636010e+00 6.471895322287583241e+00 2.304978464670709215e+01 2.587049586596992867e+01 2.641115485561754639e+01 2.445771679939093701e+01
0.000000000000000000e+00 -1.890387157650072186e+04 1.215718489119399592e+01 -4.208558201541081623e+00 -3.381246699355456187e+00 -2.432940041710458523e+00 4.669345587455191904e+00 4.747665880878886746e+00 5.659864297003371902e+00 7.103848642048976814e+00
0.000000000000000000e+00 -1.882064768082783849e+04 1.850295209756803416e+01 -2.116865965452056741e+00 3.615727044654166278e+00 6.652550870906026148e+00 2.198545941183508035e+01 2.486971110017582731e+01 2.687742979417678413e+01 2.706206562320056008e+01
