weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.295801776708571924e+04 1.332883067467584581e+01 1.358864953275476068e+02 -2.519682841485618496e+00 -8.104924638610970788e-01 9.901805679666914273e+00 -8.793186031678285275e+00 2.937447882667145294e+00 1.984272156377718943e+01 1.846603319732687964e+01 1.263652125053297937e+01
0.000000000000000000e+00 -2.270069552683853180e+04 1.634702137215051820e+01 1.276409976478874171e+02 -2.430539916174645043e+00 -5.871020382472387666e+00 7.918513091769476375e+00 -9.190444393155413394e+00 1.720581993039894542e+01 4.571516215898220992e+00 3.471906153953125340e+01 1.213830987436094944e+01
0.000000000000000000e+00 -2.221996796818717849e+04 1.026274683188776748e+01 1.681054545451062268e+02 7.255293856545492304e+00 -3.053260735696952111e+00 6.368307605953980044e+00 8.076312329445517690e+00 7.058822530513042537e+00 2.662938824851239517e+01 4.976777134163831384e+00 1.131327913168588495e+00
0.000000000000000000e+00 -2.219693891872246968e+04 1.770197266955846516e+01 8.687378578984046840e+01 5.605675203015836772e+00 6.709523596867491335e+00 -6.888845537864803248e+00 9.505890187368148503e+00 2.220306867375331450e+01 -1.739733920472012585e+00 1.066402565214600529e+01 2.836797911259364113e+01
0.000000000000000000e+00 -2.190239052545405139e+04 1.109741309042334301e+01 1.067400938143647124e+02 -7.107896399002566312e+00 3.340036160023027278e+00 -7.700427463297376818e-01 8.638697210402266791e+00 1.023972001786692232e+00 -2.030531489170776638e+00 7.956659278746442965e-01 8.924265834254626384e+00
0.000000000000000000e+00 -2.186118111683836833e+04 1.284455326416263432e+01 1.474409457607528680e+02 -5.140853935490010684e+00 -7.572608028233595689e+00 4.617868405173165769e+00 -9.461257229697523030e+00 8.203233245885176217e+00 3.060837096954782766e+01 -2.036266761706652773e+00 1.205627586957174202e+01
0.000000000000000000e+00 -2.177529655256581827e+04 1.153992654733175982e+01 1.637039835021853946e+02 -8.889381859793058283e+00 1.781455251322601185e-01 2.176504729259363558e+00 7.091927598326471127e+00 2.397399280119486065e+01 1.441156889072481917e+01 -9.564535667155329435e-01 1.613896212195570357e+01
0.000000000000000000e+00 -2.153978369105311140e+04 1.170561621644102956e+01 1.836908405604336849e+02 5.549033659157160514e+00 -6.079884702375690786e+00 8.985618010455269200e+00 -7.099037743903437558e+00 -5.019068444537907681e+00 1.212123046076116495e+01 -5.120981687780137293e+00 2.034104888873762462e+01
0.000000000000000000e+00 -2.149258279068854608e+04 1.601554774927621949e+01 1.692212700539600405e+02 -9.559583331724589073e+00 5.533857371491446742e+00 2.985351133514900113e+00 8.723990108814511757e+00 3.267585706586299921e+01 1.772506151455630885e+01 3.918421796611081476e+00 1.512064490802342753e+01
0.000000000000000000e+00 -2.143533762605778611e+04 1.732665458122929181e+01 7.442274332250480029e+01 -4.690665006670244885e+00 6.269123992439514126e+00 -8.362279672037066902e+00 9.807275823637255030e+00 1.513914189250012754e+00 2.937168981918409827e+01 2.063118200616684561e+01 4.882346819848502051e+00
0.000000000000000000e+00 -2.138371279231972585e+04 1.802161236512943887e+01 1.768195243849946223e+02 9.318963743151954304e+00 7.355135009839429472e+00 4.648213591815594015e+00 -7.124334063961096142e+00 7.392142991191935408e+00 2.009776906018203135e+01 3.765642279522438685e-01 1.576135298776149440e+01
0.000000000000000000e+00 -2.129134474589759338e+04 1.069541379027073091e+01 6.813020006710407017e+01 -2.092116556908107938e+00 7.004426422814297837e+00 3.588328032323834904e+00 9.591145484165974011e+00 1.612600635636879787e+01 5.243664660869535865e+00 7.913232193102555101e+00 -3.267743649814434548e+00
0.000000000000000000e+00 -2.116906681707362077e+04 1.199979723091160011e+01 1.270574609754093842e+02 9.424539119433593015e+00 4.177191560245869795e-01 1.647112811687691192e+00 9.593066230998150701e+00 7.891500260788155252e+00 1.078420053337771378e+01 -2.317995923707261596e+00 2.801644984392058646e+01
0.000000000000000000e+00 -2.109079476785585575e+04 1.250240433966506259e+01 7.405106235507153656e+01 7.976311998014089966e+00 9.374985237955577588e+00 -3.612037710611231134e+00 2.086728565318567874e+00 4.250516556085770503e-02 7.085183001107710155e+00 2.767480879858983656e+01 5.022015651332027986e+00
0.000000000000000000e+00 -2.097600003278502481e+04 1.856881318058100305e+01 1.971979313984235205e+02 2.795084172808675049e+00 -8.581494602759157431e+00 -9.836969603152802222e+00 -2.721641168149659507e+00 7.425509706133929910e+00 1.154723053308413938e+01 8.116395334216072399e+00 1.058078777824630201e+01
